created_date,job_title,company,salary,address,link_description,time,job_description
2025-11-14,"Chuyên Viên Pháp Lý (Thu Nhập 14 - 18 Triệu, Phường Tân Hưng - TPHCM)",Công ty TNHH Thương Mại Giải Pháp Ưu Việt,14 - 18 triệu,Hồ Chí Minh: Phường Tân Hưng,https://www.topcv.vn/viec-lam/chuyen-vien-phap-ly-thu-nhap-14-18-trieu-phuong-tan-hung-tphcm/1952295.html?ta_source=JobSearchList_LinkDetail,,
2025-11-14,"Kỹ Sư Tự Động Hóa (PLC, Robot)",Công Ty Cổ Phần Công Nghiệp Weldcom,12 - 17 triệu,Hà Nội: Phường Việt Hưng,https://www.topcv.vn/viec-lam/ky-su-tu-dong-hoa-plc-robot/1952342.html?ta_source=JobSearchList_LinkDetail,,
2025-11-15,Nhân Viên Content Marketing Ngành Làm Đẹp - Đi Làm Ngay Tại Q1- TPHCM,CÔNG TY TNHH THẨM MỸ HOÀNG HƯNG,Từ 12 triệu,Hồ Chí Minh: Phường Tân Định,https://www.topcv.vn/viec-lam/nhan-vien-content-marketing-nganh-lam-dep-di-lam-ngay-tai-q1-tphcm/1952391.html?ta_source=JobSearchList_LinkDetail,,
2025-11-14,Lễ Tân/CSKH BĐS (Không Sales),CÔNG TY CỔ PHẦN TẬP ĐOÀN BẤT ĐỘNG SẢN MẶT TRỜI,Thoả thuận,"Hà Nội: Phường Hai Bà Trưng, Phường Tây Hồ:Hồ Chí Minh: Phường Sài Gòn, Phường Vũng Tàu:Bắc Ninh: Phường Kinh Bắc, Xã Tiên Du:An Giang: Đặc khu Phú Quốc:Khánh Hòa: Phường Nha Trang:Ninh Bình: Phường Hà Nam:Quảng Ninh: Phường Bãi Cháy",https://www.topcv.vn/viec-lam/le-tan-cskh-bds-khong-sales/1952415.html?ta_source=JobSearchList_LinkDetail,Còn 27 ngày,"- Đón tiếp khách hàng, hỗ trợ khách đăng ký và điều phối khách hàng vào khu vực tư vấn. - Quản lý sảnh, tủ brochure, quầy lễ tân và hình ảnh đầu vào của VP - Trực tổng đài điện thoại, nhận - chuyển cuộc gọi đến các phòng, ghi nhận thông tin từ khách hàng nhắn lại. Gọi điện thoại ra ngoài theo yêu cầu của CBCVN. - Quản lý việc giao nhận thư giao dịch chính xác không làm thất thoát tài liệu quan trọng liên quan đến Tập đoàn ra bên ngoài. - Hướng dẫn khách đến liên lạc công tác: Tuỳ theo từng trường hợp công việc của khách cần hay có yêu cầu các phòng ban, sắp xếp khách làm việc ở phòng khách hay tại sảnh. - Quản lý, giữ gìn khu vực sảnh lễ tân luôn sạch sẽ, gọn gàng. - Quản lý phòng họp, chuẩn bị nước uống, giữ vệ sinh khu vực phòng họp. - Quản lý mua sắm các nhu yếu phẩm (trà, café…) cho văn phòng Công ty; - Chăm sóc, hướng dẫn, phục vụ khách hàng đến tham quan, trải nghiệm tại VPBH - Hướng dẫn, điều phối, phân luồng khách hàng ký thủ tục tại Phòng thủ tục - Ghi nhận và báo cáo các phản hồi trải nghiệm từ khách hàng. - Hoàn thành các công việc khác do ban lãnh đạo giao phó. - Thực hiện các công việc khác theo sự phân công của Trưởng phòng Tổng hợp"
2025-11-15,Nhân Viên Tư Vấn Bán Hàng Vua Nệm,CÔNG TY CỔ PHẦN VUA NỆM,8 - 12 triệu,Hà Nội: Phường Cầu Giấy và 6 nơi khác:Đà Nẵng: Phường Thanh Khê:Hải Phòng: Phường Lê Thanh Nghị:Phú Thọ: Phường Phúc Yên:Tuyên Quang: Xã Tân Quang,https://www.topcv.vn/viec-lam/nhan-vien-tu-van-ban-hang-vua-nem/1952705.html?ta_source=JobSearchList_LinkDetail,,
2025-11-14,Quản Lý Sản Xuất (Ngành Thực Phẩm) - Lương 15-20 Triệu - Tại TP. HCM,CÔNG TY TNHH C.A.T LOGISTICS,15 - 20 triệu,Hồ Chí Minh: Phường An Hội Tây,https://www.topcv.vn/viec-lam/quan-ly-san-xuat-nganh-thuc-pham-luong-15-20-trieu-tai-tp-hcm/1952834.html?ta_source=JobSearchList_LinkDetail,Còn 27 ngày,"- Quản lý hoạt động sản xuất Tiếp nhận, lên kế hoạch sản xuất sơ chế hàng Tạo phiếu chế biến trên hệ thống IPOS Kiểm tra chất lượng thành phẩm/nguyên liệu Quản lý thiết bị máy móc đảm bảo tình trạng hoạt động của máy móc, đề xuất bảo trì, sửa chữa khi cần. - Lập kế hoạch sản xuất Phối hợp với phòng R&D để xây dựng và triển khai kế hoạch sản xuất chi tiết. Đảm bảo kế hoạch sản xuất phù hợp với năng lực máy móc, nhân sự và nguyên vật liệu hiện có. - Quản lý Chất lượng và Vệ sinh Phối hợp với bộ phận QA/QC để giám sát và duy trì các tiêu chuẩn về an toàn vệ sinh thực phẩm , đảm bảo khu vực nhà hàng luôn sạch sẽ và gọn gàng. Chịu trách nhiệm bảo quản, bảo trì các thiết bị, dụng cụ trong nhà hàng và báo cáo kịp thời các vấn đề hỏng hóc. - Quản lý nhân sự sản xuất Phân công công việc, đào tạo, đánh giá hiệu quả làm việc của nhân viên. Đề xuất tuyển dụng, thuyên chuyển, bổ nhiệm - Báo cáo Báo cáo hàng ngày/tuần: năng xuất,hao hụt, hàng lỗi, hàng chờ xử lý. Phân tích dữ liệu để đánh giá hiệu quả sản xuất, đưa ra các đề xuất cải thiện."
2025-11-15,Nhân Viên Bán Hàng  Fulltime HCM Cửa Hàng Phúc Long,Công ty Cổ phần Phúc Long Heritage,Thoả thuận,Hồ Chí Minh: Phường Gò Vấp,https://www.topcv.vn/viec-lam/nhan-vien-ban-hang-fulltime-hcm-cua-hang-phuc-long/1952977.html?ta_source=JobSearchList_LinkDetail,Còn 27 ngày,"Thực hiện pha chế thức uống cho khách hàng theo đúng quy trình, công thức. Hướng dẫn tư vấn cho khách hàng lựa chọn thực đơn, cung cấp cho khách hàng thông tin về sản phẩm dịch vụ của cửa hàng và thực hiện thanh toán Đảm bảo tình hình vệ sinh khu vực quầy bar, quầy pha chế luôn sạch sẽ, phù hợp tiêu chuẩn VS.ATTP. Đảm bảo tiền doanh thu trong ca làm việc, báo cáo doanh thu... Đảm bảo sự hài lòng của khách hàng về chất lượng dịch vụ tại cửa hàng Một số công việc khác theo sự phân công của Quản Lý cửa hàng / Giám sát ca."
2025-11-14,Tài Xế Lái Xe Gia Đình,Công ty CP ITR VN,10 - 11 triệu,Hồ Chí Minh: Phường Tân Mỹ,https://www.topcv.vn/viec-lam/tai-xe-lai-xe-gia-dinh/1953065.html?ta_source=JobSearchList_LinkDetail,Còn 27 ngày,"Đưa đón đúng giờ, đúng lộ trình theo yêu cầu công việc và lịch trình cá nhân. Lái xe an toàn, đúng luật, thường xuyên cập nhật tình hình giao thông, thời tiết để lựa chọn tuyến đường tối ưu, đảm bảo lịch trình di chuyển hiệu quả. Chủ động kiểm tra, bảo dưỡng xe định kỳ, đảm bảo xe luôn trong tình trạng sạch sẽ và hoạt động tốt. Chủ động hỗ trợ các công việc khác theo yêu cầu (nếu có) Thời gian làm việc: Giờ làm việc: 7:00 - 17:00, từ Thứ 2 đến Thứ 6. Ngoài thời gian trên được hưởng lương ngoài giờ theo quy định"
2025-11-15,Lập Trình Viên DEV.NET (0-2 Năm Kinh Nghiệm) - Thu Nhập 9–16 Triệu,CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ KHOA HỌC CÔNG NGHỆ VSCM,9 - 16 triệu,Hà Nội: Phường Từ Liêm,https://www.topcv.vn/viec-lam/lap-trinh-vien-dev-net-0-2-nam-kinh-nghiem-thu-nhap-916-trieu/1951775.html?ta_source=JobSearchList_LinkDetail,Còn 28 ngày,"Tham gia phát triển hệ thống ERP cho doanh nghiệp Phát triển tính năng mới theo tài liệu mô tả Sửa lỗi, tối ưu và bảo trì hệ thống Tham gia triển khai hệ thống tại doanh nghiệp (khi cần) Phối hợp làm việc trực tiếp với khách hàng để ghi nhận yêu cầu, kiểm thử và hỗ trợ sử dụng Làm việc trực tiếp với leader & senior, được hướng dẫn chi tiết quy trình thực tế"
2025-11-12,Trưởng Phòng Marketing Ngành Game /Marketing Manager (Marketing Game)- Thu Nhập 40 Triệu,CÔNG TY TNHH CÔNG NGHỆ MẠNG ZOKA,30 - 40 triệu,Hồ Chí Minh: Phường An Khánh,https://www.topcv.vn/viec-lam/truong-phong-marketing-nganh-game-marketing-manager-marketing-game-thu-nhap-40-trieu/1947666.html?ta_source=JobSearchList_LinkDetail,,
2025-11-12,Operation Executive,CÔNG TY TNHH GIRAFSAIL LOGISTICS (VIETNAM),Thoả thuận,Hồ Chí Minh: Phường Tân Sơn Hòa,https://www.topcv.vn/viec-lam/operation-executive/1948214.html?ta_source=JobSearchList_LinkDetail,,
2025-11-12,Giám Sát Xây Dựng Công Trình Thu Nhập 12 Đến 15 Triệu + Phụ Cấp Tại Hồ Chí Minh,CÔNG TY TNHH TƯ VẤN ĐẦU TƯ VÀ XÂY DỰNG FUTACONS,12 - 15 triệu,Hồ Chí Minh: Phường Tân Hưng,https://www.topcv.vn/viec-lam/giam-sat-xay-dung-cong-trinh-thu-nhap-12-den-15-trieu-phu-cap-tai-ho-chi-minh/1949128.html?ta_source=JobSearchList_LinkDetail,,
